REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
2,Rocky Mountain,SHOSHONE,WIND RIVER,DUBOIS,WY,"DUBOIS, WY","Engine, Fuels",YES,,http://www.fs.usda.gov/shoshone
4,Intermountain,ASHLEY,FLAMING GORGE/VERNAL,GREEN RIVER,WY,"GREEN RIVER, WY","Engine, Type 2/2IA Handcrew, WFM",NO,,http://www.fs.usda.gov/ashley
4,Intermountain,BRIDGER-TETON,BIG PINEY,BIG PINEY,WY,"BIG PINEY, WY","Engine, Hotshot Crew, Fuels",YES,,http://www.fs.usda.gov/btnf
4,Intermountain,BRIDGER-TETON,BIG PINEY,PINEDALE,WY,"PINEDALE, WY",Engine,YES,,http://www.fs.usda.gov/btnf
4,Intermountain,BRIDGER-TETON,BLACK ROCK,MORAN,WY,"MORAN, WY",WFM,YES,,http://www.fs.usda.gov/btnf
4,Intermountain,BRIDGER-TETON,GREYS RIVER,AFTON,WY,"AFTON, WY",Engine,YES,,http://www.fs.usda.gov/btnf
4,Intermountain,BRIDGER-TETON,JACKSON,JACKSON,WY,"JACKSON, WY","Engine, Helitack",YES,Helitack is USFS/NPS interagency and shorthaul trained,http://www.fs.usda.gov/btnf
4,Intermountain,BRIDGER-TETON,KEMMERER,KEMMERER,WY,"KEMMERER, WY",Engine,YES,,http://www.fs.usda.gov/btnf
4,Intermountain,UINTA-WASATCH-CACHE,EVANSTON-MOUNTAIN VIEW,EVANSTON,WY,"EVANSTON, WY",,,,http://www.fs.usda.gov/uwcnf
4,Intermountain,UINTA-WASATCH-CACHE,EVANSTON-MOUNTAIN VIEW,MOUNTAIN VIEW,WY,"MOUNTAIN VIEW, WY",Engine,YES,,http://www.fs.usda.gov/uwcnf
