Code,City,County,State
11180053,FLOMATON,ESCAMBIA,ALABAMA
11190039,FLORALA,COVINGTON,ALABAMA
11200077,FLORENCE,LAUDERDALE,ALABAMA
11210003,FOLEY,BALDWIN,ALABAMA
11211073,FORESTDALE,JEFFERSON,ALABAMA
11212013,FOREST HOME,BUTLER,ALABAMA
11213063,FORKLAND,GREENE,ALABAMA
11215087,FORT DAVIS,MACON,ALABAMA
11220085,FORT DEPOSIT,LOWNDES,ALABAMA
11225015,FORT MC CLELLAN,CALHOUN,ALABAMA
11226113,FORT MITCHELL,RUSSELL,ALABAMA
11228003,FORT MORGAN,BALDWIN,ALABAMA
11230049,FORT PAYNE,DE KALB,ALABAMA
11235031,FORT NOVOSEL,COFFEE,ALABAMA
11235045,FORT NOVOSEL,DALE,ALABAMA
11236087,FRANKLIN,MACON,ALABAMA
11236099,FRANKLIN,MONROE,ALABAMA
11237125,FOSTERS,TUSCALOOSA,ALABAMA
11238099,FOUNTAIN,MONROE,ALABAMA
11239129,FRANKVILLE,WASHINGTON,ALABAMA
11240099,FRISCO CITY,MONROE,ALABAMA
11247129,FRUITDALE,WASHINGTON,ALABAMA
11250029,FRUITHURST,CLEBURNE,ALABAMA
11260025,FULTON,CLARKE,ALABAMA
11270073,FULTONDALE,JEFFERSON,ALABAMA
11272131,FURMAN,WILCOX,ALABAMA
11274049,FYFFE,DE KALB,ALABAMA
11280055,GADSDEN,ETOWAH,ALABAMA
11285025,GAINESTOWN,CLARKE,ALABAMA
11290119,GAINESVILLE,SUMTER,ALABAMA
11295055,GALLANT,ETOWAH,ALABAMA
11296065,GALLION,HALE,ALABAMA
11298039,GANTT,COVINGTON,ALABAMA
11300121,GANTTS QUARRY,TALLADEGA,ALABAMA
11310043,GARDEN CITY,CULLMAN,ALABAMA
11315073,GARDENDALE,JEFFERSON,ALABAMA
11317013,GARLAND,BUTLER,ALABAMA
11320019,GAYLESVILLE,CHEROKEE,ALABAMA
11330119,GEIGER,SUMTER,ALABAMA
11340061,GENEVA,GENEVA,ALABAMA
11350013,GEORGIANA,BUTLER,ALABAMA
11351049,GERALDINE,DE KALB,ALABAMA
11360023,GILBERTOWN,CHOCTAW,ALABAMA
11365057,GLEN ALLEN,FAYETTE,ALABAMA
11365093,GLEN ALLEN,MARION,ALABAMA
11370055,GLENCOE,ETOWAH,ALABAMA
11380041,GLENWOOD,CRENSHAW,ALABAMA
11385127,GOODSPRINGS,WALKER,ALABAMA
11390037,GOODWATER,COOSA,ALABAMA
11394099,GOODWAY,MONROE,ALABAMA
11400107,GORDO,PICKENS,ALABAMA
11410069,GORDON,HOUSTON,ALABAMA
11415127,GORGAS,WALKER,ALABAMA
11420109,GOSHEN,PIKE,ALABAMA
11423101,GRADY,MONTGOMERY,ALABAMA
11424111,GRAHAM,RANDOLPH,ALABAMA
11425097,GRAND BAY,MOBILE,ALABAMA
11430095,GRANT,MARSHALL,ALABAMA
11433073,GRASSELLI,JEFFERSON,ALABAMA
11435133,GRAYSON,WINSTON,ALABAMA
11440073,GRAYSVILLE,JEFFERSON,ALABAMA
11445007,GREEN POND,BIBB,ALABAMA
11450065,GREENSBORO,HALE,ALABAMA
11460013,GREENVILLE,BUTLER,ALABAMA
11461045,GRIMES,DALE,ALABAMA
11480025,GROVE HILL,CLARKE,ALABAMA
11482049,GROVEOAK,DE KALB,ALABAMA
11490093,GUIN,MARION,ALABAMA
11493003,GULF SHORES,BALDWIN,ALABAMA
11495101,GUNTER AFB,MONTGOMERY,ALABAMA
11500095,GUNTERSVILLE,MARSHALL,ALABAMA
11508089,GURLEY,MADISON,ALABAMA
11509093,GU-WIN,MARION,ALABAMA
11510093,HACKLEBURG,MARION,ALABAMA
11520067,HALEBURG,HENRY,ALABAMA
11530133,HALEYVILLE,WINSTON,ALABAMA
11535023,HALSELL,CHOCTAW,ALABAMA
11540093,HAMILTON,MARION,ALABAMA
11550049,HAMMONDVILLE,DE KALB,ALABAMA
11560043,HANCEVILLE,CULLMAN,ALABAMA
11563087,HARDAWAY,MACON,ALABAMA
11570117,HARPERSVILLE,SHELBY,ALABAMA
